,year,franchise,kpg
703,1944,SFG,3.096774194
704,1944,STL,3
705,1945,ATL,3.318181818
706,1945,BAL,3.603896104
707,1945,BOS,3.401273885
708,1945,CHC,2.980645161
709,1945,CHW,3.113333333
710,1945,CIN,3.454545455
711,1945,CLE,3.925170068
712,1945,DET,3.438709677
713,1945,LAD,2.793548387
714,1945,MIN,3.128205128
715,1945,NYY,3.723684211
716,1945,OAK,3.006535948
717,1945,PHI,3.253246753
718,1945,PIT,3.103225806
719,1945,SFG,2.967532468
720,1945,STL,3.148387097
721,1946,ATL,3.025974026
722,1946,BAL,4.570512821
723,1946,BOS,4.237179487
724,1946,CHC,3.864516129
725,1946,CHW,3.883870968
726,1946,CIN,3.865384615
727,1946,CLE,4.461538462
728,1946,DET,3.974193548
729,1946,LAD,3.662420382
730,1946,MIN,4.116129032
731,1946,NYY,4.577922078
732,1946,OAK,3.84516129
733,1946,PHI,3.806451613
734,1946,PIT,3.580645161
735,1946,SFG,3.545454545
736,1946,STL,3.442307692
737,1947,ATL,3.25974026
738,1947,BAL,4.305194805
739,1947,BOS,3.751592357
740,1947,CHC,3.729032258
741,1947,CHW,3.406451613
742,1947,CIN,3.441558442
743,1947,CLE,3.866242038
744,1947,DET,3.563291139
745,1947,LAD,3.619354839
746,1947,MIN,3.467532468
747,1947,NYY,3.748387097
748,1947,OAK,3.608974359
749,1947,PHI,3.825806452
750,1947,PIT,4.384615385
751,1947,SFG,3.677419355
752,1947,STL,3.275641026
753,1948,ATL,3.487012987
754,1948,BAL,3.683870968
755,1948,BOS,3.541935484
756,1948,CHC,3.703225806
757,1948,CHW,3.428571429
758,1948,CIN,3.803921569
759,1948,CLE,3.685897436
760,1948,DET,3.272727273
761,1948,LAD,4.419354839
762,1948,MIN,3.701298701
763,1948,NYY,3.103896104
764,1948,OAK,3.396103896
765,1948,PHI,3.84516129
766,1948,PIT,3.705128205
767,1948,SFG,4.148387097
768,1948,STL,3.374193548
769,1949,ATL,4.178343949
770,1949,BAL,4.516129032
771,1949,BOS,3.290322581
772,1949,CHC,3.720779221
773,1949,CHW,3.850649351
774,1949,CIN,3.583333333
775,1949,CLE,3.467532468
776,1949,DET,3.232258065
777,1949,LAD,3.653846154
778,1949,MIN,3.207792208
779,1949,NYY,3.477419355
780,1949,OAK,3.201298701
781,1949,PHI,4.350649351
782,1949,PIT,3.597402597
783,1949,SFG,3.352564103
784,1949,STL,3.070063694
785,1950,ATL,3.948717949
786,1950,BAL,4.818181818
787,1950,BOS,3.766233766
788,1950,CHC,4.980519481
789,1950,CHW,3.634615385
790,1950,CIN,3.248366013
791,1950,CLE,4.019354839
792,1950,DET,3.063694268
793,1950,LAD,4.077419355
794,1950,MIN,3.903225806
795,1950,NYY,2.95483871
796,1950,OAK,3.188311688
797,1950,PHI,3.624203822
798,1950,PIT,4.5
799,1950,SFG,4.084415584
800,1950,STL,3.947712418
801,1951,ATL,3.980645161
802,1951,BAL,4.493506494
803,1951,BOS,3.857142857
804,1951,CHC,4.174193548
805,1951,CHW,3.387096774
806,1951,CIN,3.722580645
807,1951,CLE,4.077419355
808,1951,DET,3.396103896
809,1951,LAD,4.107594937
810,1951,MIN,3.337662338
811,1951,NYY,3.538961039
812,1951,OAK,3.662337662
813,1951,PHI,3.409090909
814,1951,PIT,3.967741935
815,1951,SFG,3.974522293
816,1951,STL,3.174193548
817,1952,ATL,4.587096774
818,1952,BAL,4.625806452
819,1952,BOS,4.785714286
820,1952,CHC,4.593548387
821,1952,CHW,3.326923077
822,1952,CIN,4.603896104
823,1952,CLE,4.832258065
824,1952,DET,3.865384615
825,1952,LAD,4.509677419
826,1952,MIN,3.853503185
827,1952,NYY,4.233766234
828,1952,OAK,3.6
829,1952,PHI,3.467532468
830,1952,PIT,4.670967742
831,1952,SFG,4.363636364
832,1952,STL,3.11038961
833,1953,ATL,4.057324841
834,1953,BAL,4.181818182
835,1953,BOS,3.921568627
836,1953,CHC,4.812903226
837,1953,CHW,3.391025641
838,1953,CIN,4.522580645
839,1953,CLE,4.4
840,1953,DET,3.810126582
841,1953,LAD,4.425806452
842,1953,MIN,3.973684211
843,1953,NYY,4.258278146
844,1953,OAK,3.834394904
845,1953,PHI,3.826923077
846,1953,PIT,4.642857143
847,1953,SFG,3.922580645
848,1953,STL,3.929936306
849,1954,ATL,4.019480519
850,1954,BAL,4.116883117
851,1954,BOS,4.230769231
852,1954,CHC,4.5
853,1954,CHW,3.458064516
854,1954,CIN,4.188311688
855,1954,CLE,4.282051282
856,1954,DET,3.890322581
857,1954,LAD,4.058441558
858,1954,MIN,4.638709677
859,1954,NYY,4.077419355
860,1954,OAK,4.33974359
861,1954,PHI,4.025974026
862,1954,PIT,4.785714286
863,1954,SFG,3.642857143
864,1954,STL,3.805194805
865,1955,ATL,4.772727273
866,1955,BAL,4.743589744
867,1955,BOS,4.74025974
868,1955,CHC,5.233766234
869,1955,CHW,3.838709677
870,1955,CIN,4.266233766
871,1955,CLE,4.642857143
872,1955,DET,3.772727273
873,1955,LAD,4.662337662
874,1955,MIN,4.227272727
875,1955,NYY,4.253246753
876,1955,OAK,4.632258065
877,1955,PHI,4.37012987
878,1955,PIT,4.233766234
879,1955,SFG,3.772727273
880,1955,STL,3.876623377
881,1956,ATL,4.606451613
882,1956,BAL,4.707792208
883,1956,BOS,4.44516129
884,1956,CHC,4.942675159
885,1956,CHW,4.272727273
886,1956,CIN,4.903225806
887,1956,CLE,4.929032258
888,1956,DET,3.987096774
889,1956,LAD,4.792207792
890,1956,MIN,5.658064516
891,1956,NYY,4.902597403
892,1956,OAK,4.707792208
893,1956,PHI,4.37012987
894,1956,PIT,4.789808917
895,1956,SFG,4.279220779
896,1956,STL,3.987179487
897,1957,ATL,4.703225806
898,1957,BAL,4.519480519
899,1957,BOS,4.779220779
900,1957,CHC,6.33974359
901,1957,CHW,4.8
902,1957,CIN,4.883116883
903,1957,CLE,5.117647059
904,1957,DET,4.162337662
905,1957,LAD,5.506493506
906,1957,MIN,4.746753247
907,1957,NYY,4.590909091
908,1957,OAK,4.941558442
909,1957,PHI,4.858974359
910,1957,PIT,4.729032258
911,1957,SFG,4.344155844
912,1957,STL,4.363636364
913,1958,ATL,4.194805195
914,1958,BAL,4.746753247
915,1958,BOS,5.290322581
916,1958,CHC,5.538961039
917,1958,CHW,4.316129032
918,1958,CIN,4.967532468
919,1958,CLE,5.352941176
920,1958,DET,4.402597403
921,1958,LAD,5.519480519
922,1958,MIN,4.814102564
923,1958,NYY,5.277419355
924,1958,OAK,4.788461538
925,1958,PHI,5.655844156
926,1958,PIT,4.88961039
927,1958,SFG,5.305194805
928,1958,STL,4.136363636
929,1959,ATL,4.872611465
930,1959,BAL,4.451612903
931,1959,BOS,5.25974026
932,1959,CHC,5.877419355
933,1959,CHW,4.064102564
934,1959,CIN,4.954545455
935,1959,CLE,4.681818182
936,1959,DET,4.772727273
937,1959,LAD,5.711538462
938,1959,MIN,5.720779221
939,1959,NYY,5.341935484
940,1959,OAK,5.064935065
941,1959,PHI,5.535483871
942,1959,PIT,4.612903226
943,1959,SFG,5.681818182
944,1959,STL,4.850649351
945,1960,ATL,5.149350649
946,1960,BAL,5.194805195
947,1960,BOS,5.188311688
948,1960,CHC,5.75
949,1960,CHW,4.207792208
950,1960,CIN,5.571428571
951,1960,CLE,3.707792208
952,1960,DET,4.727272727
953,1960,LAD,5.435064935
954,1960,MIN,5.733766234
955,1960,NYY,5.277419355
956,1960,OAK,4.8
957,1960,PHI,6.844155844
958,1960,PIT,4.819354839
959,1960,SFG,5.423076923
960,1960,STL,5.109677419
961,1961,ANA,6.592592593
962,1961,ATL,5.677419355
963,1961,BAL,5.533742331
964,1961,BOS,5.190184049
965,1961,CHC,6.583333333
966,1961,CHW,3.754601227
967,1961,CIN,4.941558442
968,1961,CLE,4.472049689
969,1961,DET,5.306748466
970,1961,LAD,5.168831169
971,1961,MIN,5.217391304
972,1961,NYY,4.81595092
973,1961,OAK,4.75308642
974,1961,PHI,5.987096774
975,1961,PIT,4.681818182
976,1961,SFG,4.929032258
977,1961,STL,4.806451613
978,1961,TEX,5.695652174
979,1962,ANA,5.660493827
980,1962,ATL,6.018518519
981,1962,BAL,5.74691358
982,1962,BOS,5.76875
983,1962,CHC,6.444444444
984,1962,CHW,4.160493827
985,1962,CIN,5.574074074
986,1962,CLE,5.796296296
987,1962,DET,5.552795031
988,1962,HOU,4.975308642
989,1962,LAD,5.36969697
990,1962,MIN,5.049079755
991,1962,NYM,6.155279503
992,1962,NYY,5.197530864
993,1962,OAK,4.956790123
994,1962,PHI,5.732919255
995,1962,PIT,5.192546584
996,1962,SFG,4.981818182
997,1962,STL,5.190184049
998,1962,TEX,4.87037037
999,1963,ANA,5.689440994
1000,1963,ATL,5.852760736
1001,1963,BAL,5.802469136
1002,1963,BOS,5.925465839
1003,1963,CHC,6.475308642
1004,1963,CHW,5.530864198
1005,1963,CIN,5.925925926
1006,1963,CLE,6.802469136
1007,1963,DET,5.604938272
1008,1963,HOU,5.790123457
1009,1963,LAD,5.319018405
1010,1963,MIN,5.664596273
1011,1963,NYM,6.654320988
1012,1963,NYY,5.01863354
1013,1963,OAK,5.117283951
1014,1963,PHI,5.895061728
1015,1963,PIT,5.802469136
1016,1963,SFG,5.487654321
1017,1963,STL,5.648148148
1018,1963,TEX,5.944444444
1019,1964,ANA,5.679012346
1020,1964,ATL,5.092592593
1021,1964,BAL,6.251533742
1022,1964,BOS,5.660493827
1023,1964,CHC,6.425925926
1024,1964,CHW,5.567901235
1025,1964,CIN,5.975460123
1026,1964,CLE,6.481707317
1027,1964,DET,5.595092025
1028,1964,HOU,5.382716049
1029,1964,LAD,5.445121951
1030,1964,MIN,6.251533742
1031,1964,NYM,5.717791411
1032,1964,NYY,5.951219512
1033,1964,OAK,6.773006135
1034,1964,PHI,5.703703704
1035,1964,PIT,5.987654321
1036,1964,SFG,5.555555556
1037,1964,STL,5.709876543
1038,1964,TEX,6.938271605
1039,1965,ANA,6.00617284
1040,1965,ATL,6.024691358
1041,1965,BAL,5.598765432
1042,1965,BOS,5.950617284
1043,1965,CHC,5.780487805
1044,1965,CHW,5.654320988
1045,1965,CIN,6.191358025
1046,1965,CLE,5.290123457
1047,1965,DET,5.87654321
1048,1965,HOU,5.413580247
1049,1965,LAD,5.5
1050,1965,MIN,5.981481481
1051,1965,NYM,6.884146341
1052,1965,NYY,5.87037037
1053,1965,OAK,6.296296296
1054,1965,PHI,6.734567901
1055,1965,PIT,6.18404908
1056,1965,SFG,5.17791411
1057,1965,STL,5.444444444
1058,1965,TEX,6.944444444
1059,1966,ANA,6.555555556
1060,1966,ATL,5.601226994
1061,1966,BAL,5.7875
1062,1966,BOS,6.296296296
1063,1966,CHC,6.160493827
1064,1966,CHW,5.349693252
1065,1966,CIN,5.48125
1066,1966,CLE,5.641975309
1067,1966,DET,6.092592593
1068,1966,HOU,5.429447853
1069,1966,LAD,5.12345679
1070,1966,MIN,5.209876543
1071,1966,NYM,6.161490683
1072,1966,NYY,5.10625
1073,1966,OAK,6.1375
1074,1966,PHI,5.981481481
1075,1966,PIT,6.240740741
1076,1966,SFG,5.341614907
1077,1966,STL,6.030864198
1078,1966,TEX,6.72327044
1079,1967,ANA,6.341614907
1080,1967,ATL,5.845679012
1081,1967,BAL,6.223602484
1082,1967,BOS,6.296296296
1083,1967,CHC,5.62962963
1084,1967,CHW,5.240740741
1085,1967,CIN,5.981481481
1086,1967,CLE,6.074074074
1087,1967,DET,6.098159509
1088,1967,HOU,5.765432099
1089,1967,LAD,5.438271605
1090,1967,MIN,5.951219512
1091,1967,NYM,6.055555556
1092,1967,NYY,6.398773006
1093,1967,OAK,6.329192547
1094,1967,PHI,6.37654321
1095,1967,PIT,5.607361963
1096,1967,SFG,6.037037037
1097,1967,STL,5.708074534
1098,1967,TEX,6.440993789
1099,1968,ANA,6.666666667
1100,1968,ATL,4.797546012
1101,1968,BAL,6.290123457
1102,1968,BOS,6.012345679
1103,1968,CHC,5.239263804
1104,1968,CHW,5.185185185
1105,1968,CIN,5.754601227
1106,1968,CLE,5.296296296
1107,1968,DET,5.87804878
1108,1968,HOU,6.098765432
1109,1968,LAD,6.049382716
